Column1,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
0,Jonathan Taylor,IND,RB,332,1811,18,40,360,2,2,0,0,0,0,0
1,Cooper Kupp,LAR,WR,4,18,0,145,1947,16,0,1,0,0,0,0
2,Deebo Samuel,SFO,WR,59,365,8,77,1405,6,2,2,0,24,1,0
3,Josh Allen,BUF,QB,122,763,6,0,0,0,3,646,409,4407,36,15
4,Austin Ekeler,LAC,RB,206,911,12,70,647,8,3,0,0,0,0,0
5,Justin Herbert,LAC,QB,63,302,3,0,0,0,1,672,443,5014,38,15
6,Tom Brady,TAM,QB,28,81,2,0,0,0,3,719,485,5316,43,12
7,Mark Andrews,BAL,TE,1,0,0,107,1361,9,0,0,0,0,0,0
8,Ja'Marr Chase,CIN,WR,7,21,0,81,1455,13,1,0,0,0,0,0
9,Justin Jefferson,MIN,WR,6,14,0,108,1616,10,1,4,0,35,0,0
10,Joe Mixon,CIN,RB,292,1205,13,42,314,3,1,0,0,0,0,0
11,Davante Adams,GNB,WR,0,0,0,123,1553,11,0,0,0,0,0,0
12,Patrick Mahomes,KAN,QB,66,381,2,0,0,0,4,658,0,4839,37,13
13,Najee Harris,PIT,RB,307,1200,7,74,467,3,0,0,0,0,0,0
14,Travis Kelce,KAN,TE,2,3,1,92,1125,9,1,0,0,0,0,0
15,James Conner,ARI,RB,202,752,15,37,375,3,0,0,0,0,0,0
16,Mike Evans,TAM,WR,1,10,0,74,1035,14,0,0,0,0,0,0
17,Aaron Rodgers,GNB,QB,33,101,3,1,-4,0,0,531,366,4115,37,4
18,Tyreek Hill,KAN,WR,9,96,0,111,1239,9,1,0,0,0,0,0
19,Matthew Stafford,LAR,QB,32,43,0,0,0,0,2,601,404,4886,41,17
20,Stefon Diggs,BUF,WR,0,0,0,103,1225,10,0,0,0,0,0,0
21,Ezekiel Elliott,DAL,RB,237,1002,10,47,287,2,1,1,0,4,0,0
22,Dak Prescott,DAL,QB,48,146,1,0,0,0,6,596,410,4449,37,10
23,Nick Chubb,CLE,RB,228,1259,8,20,174,1,1,0,0,0,0,0
24,Mike Williams,LAC,WR,0,0,0,76,1146,9,0,0,0,0,0,0
25,D.K. Metcalf,SEA,WR,1,6,0,75,967,12,0,0,0,0,0,0
26,Tyler Lockett,SEA,WR,2,9,0,73,1175,8,0,0,0,0,0,0
27,Damien Harris,NWE,RB,202,929,15,18,132,0,2,0,0,0,0,0
28,Joe Burrow,CIN,QB,40,118,2,0,0,0,2,520,366,4611,34,14
29,Diontae Johnson,PIT,WR,5,53,0,107,1161,8,2,0,0,0,0,0
30,Jalen Hurts,PHI,QB,139,784,10,0,0,0,2,432,265,3144,16,9
31,Alvin Kamara,NOR,RB,240,898,4,47,439,5,0,0,0,0,0,0
32,Antonio Gibson,WAS,RB,258,1037,7,42,294,3,4,0,0,0,0,0
33,Leonard Fournette,TAM,RB,180,812,8,69,454,2,0,1,0,0,0,0
34,Dalton Schultz,DAL,TE,0,0,0,78,808,8,0,0,0,0,0,0
35,Cordarrelle Patterson,ATL,RB,153,618,6,52,548,5,0,1,0,0,0,0
36,George Kittle,SFO,TE,3,20,0,71,910,6,1,0,0,0,0,0
37,Hunter Renfrow,LVR,WR,3,3,0,103,1038,9,1,0,0,0,0,0
38,CeeDee Lamb,DAL,WR,9,76,0,79,1102,6,0,0,0,0,0,0
39,Kyler Murray,ARI,QB,88,423,5,0,7,0,0,481,333,3787,24,10
40,Kirk Cousins,MIN,QB,29,115,1,0,0,0,2,561,372,4221,33,7
41,Aaron Jones,GNB,RB,171,799,4,52,391,6,1,0,0,0,0,0
42,Keenan Allen,LAC,WR,0,0,0,106,1138,6,0,1,0,0,0,0
43,Derrick Henry,TEN,RB,219,937,10,18,154,0,0,1,0,5,1,0
44,Michael Pittman Jr.,IND,WR,5,44,0,88,1082,6,0,0,0,0,0,0
45,Dalvin Cook,MIN,RB,249,1159,6,34,224,0,2,0,0,0,0,0
46,Josh Jacobs,LVR,RB,217,872,9,54,348,0,2,0,0,0,0,0
47,Rob Gronkowski,TAM,TE,0,0,0,55,802,6,0,0,0,0,0,0
48,Tee Higgins,CIN,WR,0,0,0,74,1091,6,1,0,0,0,0,0
49,Dawson Knox,BUF,TE,0,4,0,49,587,9,0,0,0,0,0,0
50,D.J. Moore,CAR,WR,8,48,0,93,1157,4,1,0,0,0,0,0
51,Chris Godwin,TAM,WR,4,21,1,98,1103,5,2,0,0,0,0,0
52,Hunter Henry,NWE,TE,0,0,0,50,603,9,0,0,0,0,0,0
53,Melvin Gordon,DEN,RB,203,918,8,28,213,2,3,0,0,0,0,0
54,Jaylen Waddle,MIA,WR,2,3,1,104,1015,6,1,0,0,0,0,0
55,Brandin Cooks,HOU,WR,2,21,0,90,1037,6,0,0,0,0,0,0
56,Dallas Goedert,PHI,TE,0,0,0,56,830,4,0,0,0,0,0,0
57,Darnell Mooney,CHI,WR,6,32,1,81,1055,4,0,0,0,0,0,0
58,Kyle Pitts,ATL,TE,0,0,0,68,1026,1,0,0,0,0,0,0
59,Javonte Williams,DEN,RB,203,903,4,43,316,3,1,0,0,0,0,0
60,Amon-Ra St. Brown,DET,WR,7,61,1,90,912,5,0,0,0,0,0,0
61,Zach Ertz,2TM,TE,1,4,0,74,763,5,0,0,0,0,0,0
62,Terry McLaurin,WAS,WR,1,12,0,77,1053,5,0,0,0,0,0,0
63,Marquise Brown,BAL,WR,1,5,0,91,1008,6,1,0,0,0,0,0
64,Amari Cooper,DAL,WR,0,0,0,68,865,8,0,0,0,0,0,0
65,Devin Singletary,BUF,RB,188,870,7,40,228,1,0,0,0,0,0,0
66,Adam Thielen,MIN,WR,1,2,0,67,726,10,0,0,0,0,0,0
67,Christian Kirk,ARI,WR,1,11,0,77,982,5,0,1,0,33,0,0
68,David Montgomery,CHI,RB,225,849,7,42,301,0,1,1,0,0,0,1
69,AJ Dillon,GNB,RB,187,803,5,34,313,2,1,0,0,0,0,0
70,Kendrick Bourne,NWE,WR,12,125,0,55,800,5,1,1,0,25,1,0
71,Darrel Williams,KAN,RB,144,558,6,47,452,2,0,0,0,0,0,0
72,D'Andre Swift,DET,RB,151,617,5,62,452,2,1,1,0,0,0,0
